id|question text|display text|key|options|is featured|type|status|max_score|pass_score|lang_name|options in lang|concept|microconcept group|microconcept|Level|Learning Indicator
130||||||||||||||||
291||||||||||||||||
|Number Sense- Oral number name association|Number Sense- Oral number name association|Number Sense|{1,0}|True|2|AC|1|1|ಸಂಖ್ಯೆಗಳು - ಓದುವುದು ಮತ್ತು ಬರೆಯುವುದು|{1,0}|number_sense|numbers|oral_number_name_association|beginner|knowledge
|Number Operations - Addition without Carry (Abstract)|Number Operations - Addition without Carry (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ಸಂಕಲನ- ದಶಕ ರಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ )|{1,0}|number_operations|addition|addition_without_carry(abstract)|beginner|understanding
|Number Operations - Addition with Carry (Abstract)|Number Operations - Addition with Carry (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ಸಂಕಲನ - ದಶಕ ಸಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ )|{1,0}|number_operations|addition|addition_with_carry(abstract)|beginner|understanding
|Number Operations - Subtraction without Borrow (Abstract)|Number Operations - Subtraction without Borrow (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ವ್ಯವಕಲನ - ದಶಕ ರಹಿತ ವ್ಯವಕಲನ (ಅಮೂರ್ತ )|{1,0}|number_operations|subtraction|subtraction_without_borrow(abstract)|beginner|understanding
|Number Operations - Subtraction with Borrow (Abstract)|Number Operations - Subtraction with Borrow (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ವ್ಯವಕಲನ - ದಶಕ ಸಹಿತ ವ್ಯವಕಲನ (ಅಮೂರ್ತ )|{1,0}|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|understanding
|Number Operations - Long Multiplication (Abstract)|Number Operations - Long Multiplication (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ಗುಣಾಕಾರ - ಗುಣಾಕಾರ (ಅಮೂರ್ತ )|{1,0}|number_operations|multiplication|long_multiplication(abstract)|beginner|understanding
|Number Operations - Long Multiplication (Abstract)|Number Operations - Long Multiplication (Abstract)|Number Operations|{1,0}|True|2|AC|1|1|ಗುಣಾಕಾರ - ಗುಣಾಕಾರ (ಅಮೂರ್ತ )|{1,0}|number_operations|multiplication|long_multiplication(abstract)|beginner|understanding
|Number Operations - Long Division without Remainder|Number Operations - Long Division without Remainder|Number Operations|{1,0}|True|2|AC|1|1|ಭಾಗಾಕಾರ - ಶೇಷ ರಹಿತ ಭಾಗಾಕಾರ|{1,0}|number_operations|division|long_division_without_remainder|beginner|understanding
