id ,question_text,display_text,key,"options (format: “{a,b}”)",is_featured (True/False),question_type (1/2/3/4/5/6/7 check assessments_questiontype),status (AC/IA),max_score,pass_score,name in local language,options in local language
,Book number,,,,,4,AC,,,,
,Book status,Book status (Lost/Damaged),,{Lost/Damaged},,1,AC,,,,
