State,District, Block, Cluster, GPId, GPName, SchoolName, DISE Code, Category, Gender, Language
karnataka,dharwad,dharwad,garag urdu,6293,Hebballi (dwd),KGS HEBBALLI,29090103803,Lower Primary,co-ed,kan
karnataka,tumakuru,chiknayakanhalli,kuppuru,3916,Kuppuru,GLPS Manchasandra,29180114901,Lower Primary,co-ed,kan
