district_id|district
11042|angul
11043|balasore
11044|bargarh
11045|bhadrak
11046|bolangir
11047|boudh
11048|cuttack
11049|deogarh
11050|dhenkanal
11051|gajapati
11052|ganjam
11053|jagatsinghpur
11054|jajpur
11055|jharsuguda
11056|kalahandi
11057|kandhamal
11058|kendrapara
11059|keonjhar
11060|khordha
11061|koraput
11062|malkangiri
11063|mayurbhanj
11064|nabarangpur
11065|nayagarh
11066|nuapada
11067|puri
11068|rayagada
11069|sambalpur
11070|sonepur
11071|sundergarh
