gpid,designation,name
5476,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಬಾಬಣ್ಣ 
5476,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮೀರ್ ಫಯಾಜ್ ಅಬ್ಬಾಸ್ 
5476,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಲಕ್ಷ್ಮಿ ನರಸಪ್ಪ .ಟಿ 
5476,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಪ್ಪ
5476,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಕೃಷ್ಣಪ್ಪ
6526,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸರಸ್ವತಮ್ಮ 
6526,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಶ್ರೀನಿವಾಸ್. ಜಿ 
6526,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಗೋಪಾಲ ಗೌಡ 
6526,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರಾಧಿಕ.ಆರ್. ಜೆ
6526,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅರುಣ್ ಕುಮಾರ. ಜಿ
3946,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಗಿರಿಜಮ್ಮ 
3946,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ನರಸಿಂಹಪ್ಪ 
3946,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಶಿವಪ್ರಸಾದ್ 
3946,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ
3946,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಲಕ್ಷ್ಮೀನಾರಾಯಣ
4518,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ನಾಗಪ್ಪ 
