SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
1060201608|33|49|15|75|14|50
1060201609|33|49|30|75|15|24
1060201701|33|50|57|75|16|8
1060201801|33|50|57|75|16|59
1060201802|33|51|57|75|16|59
1060201803|33|50|3|75|17|9
1060201804|33|49|17|75|17|34
1060201805|33|50|56|75|16|56
1060201901|33|50|56|75|17|9
1060201903|33|50|53|75|17|5
1060201904|33|50|55|75|16|54
1060202001|33|50|55|75|17|1
1060202002|33|50|56|75|17|0
1060202101|33|50|53|75|17|5
1060202103|33|50|59|75|17|9
1060202104|33|51|0|75|17|22
1060202105|33|50|56|75|17|12
1060202106|33|50|57|75|17|11
1060202201|33|50|55|75|17|14
1060202202|33|56|10|75|17|55
1060202301|33|50|51|75|17|7
1060202402||||||
1060202403|33|51|49|75|16|44
1060202404|33|51|44|75|16|44
1060202405|33|51|57|75|16|58
1060202409|33|51|43|75|16|34
1060202410|33|51|9|75|16|43
1060202411|33|51|5|75|16|56
1060202412||||||
1060202414|33|51|47|75|16|41
1060202415||||||
1060202501||||||
1060202601|33|50|57|75|16|8
1060202602|0|0|0|0|0|0
1060202701||||||
1060202702|33|50|45|75|15|32
1060202703|33|50|46|75|15|33
1060202704|0|0|0|0|0|0
1060202801||||||
1060202901|33|53|8|75|16|50
1060202902|33|53|6|75|16|50
1060202903|33|53|1|75|16|41
1060202904|33|53|20|75|16|29
1060203001|33|53|39|75|16|47
1060203002|33|53|39|75|16|47
1060203101|33|52|28|75|16|29
1060203201|33|54|10|75|15|16
1060203301|33|52|32|75|16|56
1060203302|0|0|0|0|0|0
1060203401|33|52|12|75|15|56
1060203501|33|58|10|75|18|59
1060203502|33|57|10|75|18|50
1060203503|33|57|10|75|18|32
1060203504|33|58|10|75|19|17
1060203505|33|58|10|75|18|40
1060203506|33|55|10|75|17|24
1060203507|33|58|10|75|18|55
1060203601|33|56|10|75|17|49
1060203602|33|56|10|75|17|41
1060203605|33|56|10|75|17|49
1060203606|33|56|10|75|17|51
1060203607|33|57|10|75|18|21
1060203608|33|57|10|75|17|32
1060203701|34|2|10|75|17|43
1060203801|34|5|10|75|15|50
1060203901|34|3|10|75|20|54
1060203903|34|3|10|75|20|51
1060204001|34|3|10|75|22|29
1060204002|34|3|10|75|21|54
1060204003|34|4|14|75|23|51
1060204004|34|5|1|75|25|4
1060204005|34|6|55|75|27|29
1060204006|34|4|3|75|24|52
1060204007|34|4|45|75|26|5
1060204008|34|3|15|75|22|39
1060204101|33|55|10|75|17|26
1060204201|33|48|54|75|15|54
1060204202|33|49|51|75|19|13
1060204203|33|47|54|75|16|54
1060204204|33|48|54|75|15|53
1060204301|33|50|5|75|19|40
1060204401|33|52|32|75|16|40
1060204501|33|59|10|75|19|7
1060204502|33|59|10|75|19|7
1060204503|33|59|10|75|19|16
1060204601|34|0|10|75|18|33
1060204701|34|2|10|75|19|54
1060204702|34|2|10|75|20|22
1060204801|34|1|10|75|19|10
1060204901|34|1|10|75|19|15
1060204902|34|1|10|75|19|17
1060204904|34|2|10|75|20|4
1060204905|34|1|10|75|19|17
1060204906|34|2|10|75|19|40
1060300101|34|72|13|75|8|18
1060300201|34|71|21|75|16|14
1060300301||||||
1060300302|34|68|59|75|14|82
1060300303|33|38|59|75|14|82
1060300401|34|75|82|75|12|33
1060300403|34|75|63|75|11|97
1060300405|34|75|19|75|12|53
1060300501|34|76|33|75|12|93
1060300502|34|76|33|75|12|93
1060300505|34|76|33|75|12|93
1060300506|34|76|33|75|12|93
1060300601|34|74|62|75|13|79
1060300602|34|74|18|75|13|14
1060300701|34|74|62|75|13|79
1060300801|34|68|37|75|14|81
1060300901|34|59|62|75|14|61
1060300903|34|59|62|75|14|61
1060301001|34|70|82|75|11|51
1060301101|34|70|77|75|11|78
1060301201|34|71|24|75|14|14
1060301202|34|71|24|75|14|14
1060301204|34|68|62|75|10|57
