id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,Have you visited your child's school in the last month?,,,"{Yes,No,Don't Know}",True,1,AC,,,గత నెలలో మీరు మీ పిల్లల పాఠశాలను సందర్శించారా?,"{అవును,కాదు,తెలియదు}"
,Does the school have a separate functional toilet for girls?,How many schools have separate toilets for boys and girls?,ivrss-functional-toilets-girls,"{Yes,No,Don't Know}",True,1,AC,,,పాఠశాల  లొ  ఆడ పిల్లల  కు ప్రత్యేకమైన క్రియాశీల మరుగు దొడ్లు ఉందా?,"{అవును,కాదు,తెలియదు}"
,Are you satisfied with the Mid Day Meal served in your child''s school?,How many responses indicate that the mid day meal is satisfactory?,mob-mdm-satisfactory,"{Yes,No,Don't Know}",True,1,AC,,,మీ పిల్లల పాఠశాలలో మధ్యాహ్న భోజనం తొ మీరు సంతృప్తి గా వున్నారా?,"{అవును,కాదు,తెలియదు}"
,Is there a teacher shortage in the school?,How many responses indicate a teacher shortage in schools?,mob-teacher-shortage,"{Yes,No,Don't Know}",True,1,AC,,,పాఠశాలలో గురువు కొరత ఉందా?,"{అవును,కాదు,తెలియదు}"
,Do you think your child can read Telugu?,How many responses indicate that children can read in Telugu?,mob-read-telugu,"{Yes,No,Don't Know}",True,1,AC,,,మీ బిడ్డ కన్నడ భాషను చదవగలదని మీరు అనుకుంటున్నారా?,"{అవును,కాదు,తెలియదు}"
,Do you think your child can read English?,How many responses indicate that children can read in English?,mob-read-english,"{Yes,No,Don't Know}",True,1,AC,,,మీ బిడ్డ ఆంగ్ల భాషను చదవగలరని మీరు అనుకుంటున్నారా?,"{అవును,కాదు,తెలియదు}"
,Do you think your child can do addition?,How many responses indicate that children can do addition?,mob-addition,"{Yes,No,Don't Know}",True,1,AC,,,మీ బిడ్డ కూడికలు చేయగలరని మీరు అనుకుంటున్నారా?,"{అవును,కాదు,తెలియదు}"
,Do you think your child can do subtraction?,How many responses indicate that children can do subtraction?,mob-subtraction,"{Yes,No,Don't Know}",True,1,AC,,,మీ బిడ్డ తీసివేతలు చేయగలరని మీరు అనుకుంటున్నారా?,"{అవును,కాదు,తెలియదు}"
,Does the SMC meet every month?,How many responses indicate SMC meetings happen monthly?,mob-smc-meet,"{Yes,No,Don't Know}",True,1,AC,,,ప్రతి నెలలోను  ఎస్ఎంసితో  సమావేశం అవుతారా?,"{అవును,కాదు,తెలియదు}"
