DIST,PROJ,CIRCLE,SCODE,SNAME,START_DATE,END_DATE, Number of students enrolled(boys), Number of students enrolled(girl), Number of students present(boy), Number of students present(girl), Number of students with special needs(boy), Number of students with special needs(girl), Where is the center functioning, The anganwadi center is in a spacious room (35 sq according to ecce rule)  meaning there is an indoor enclosure, There is an outdoor space for 30 children  with space of 30sq, Anganwadi Centre walls are in good shape, Anganwadi Centre floor is in good shape, Anganwadi Centre roof is in good shape, There is a toilet for children to use, Children are using toilet, Centre has water available in the taps, There is pure drinking water facility, Food to be distributed on that day was covered properly, There is seperate facility for washing hands after meals, There is black board in the center, Learning materials are present in the centre, Anganwadi worker is trained, Activities are conducted using learning material by the anganwadi worker, Children learning value correction is done for 2013-14, Progress in children learning is documented, Bala Vikas Samithi is present, Bala Vikas Samithi meeting is conducted                                                                         
 bangalore, anekal taluk, attibele,38807, ABBANNA PALYA, 2014-08-18, 2015-12-30,11,7,8,6,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,30919, ADIGONDANAHALLI, 2014-08-18, 2015-12-30,6,10,6,10,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,29584, AHAREHALLI, 2014-08-18, 2015-12-30,7,10,7,10,0,0,2,1,1,1,1,0,1,0,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33657, AMBEDKAR NAGARA, 2014-08-18, 2015-12-30,8,11,8,11,0,0,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33576, ATTIBELE B, 2014-08-18, 2015-12-30,5,6,5,6,0,0,2,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33573, ATTIBELE D, 2014-08-18, 2015-12-30,12,16,10,14, NA, NA,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33952, ATTIBELE F BHUVANESHWARI NAGARA, 2014-08-18, 2015-12-30,9,9,9,9,0,0,1,0,0,1,1,1,1,1,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33951, ATTIBELE G SADASHIVANAGAR, 2014-08-18, 2015-12-30,7,5,7,5,0,0,1,1,0,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37171, ATTIBELE H, 2014-08-18, 2015-12-30,9,15,9,15,0,0,1,0,0,1,1,1,1,1,0,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33957, ATTIBELE-A, 2014-08-18, 2015-12-30,11,10,11,10,0,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33955, ATTIBELE-C, 2014-08-18, 2015-12-30,8,8,8,8,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33956, ATTIBELE-E, 2014-08-18, 2015-12-30,14,19,10,15,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,36364, BALAGARANAHALLI, 2014-08-18, 2015-12-30,21,11,18,10,0,0,2,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37221, BALAGARANAHALLI B, 2014-08-18, 2015-12-30,16,18,12,14,0,0,3,1,1,1,1,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33617, BALAGARANAHALLI DINNE, 2014-08-18, 2015-12-30,10,8,10,8,0,0,1,0,0,1,1,1,0,0,0,2,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33658, BENDIGANAHALLI, 2014-08-18, 2015-12-30,12,1,10,1,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,30946, GUDDAHATTI, 2014-08-18, 2015-12-30,11,5,11,5,1,0,2,1,0,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,36527, HANUMAN LAYOUT, 2014-08-18, 2015-12-30,11,12,10,12, NA, NA,1,0,0,1,1,1,1,1,1,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,36407, ICCHANGOORU VADDRA PALYA B, 2014-08-18, 2015-12-30,9,11,9,11,0,0,2,1,1,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33650, ICCHANGURU, 2014-08-18, 2015-12-30,9,5,9,5,0,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33660, ICCHANGURU VADDARAPALYA, 2014-08-18, 2015-12-30,9,9,9,9,0,0,1,0,0,1,1,1,0,0,0,2,1,0,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,30942, NERALURU, 2014-08-18, 2015-12-30,13,7,10,7,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37170, NERALURU B, 2014-08-18, 2015-12-30,8,12,8,12,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37172, NERALURU C, 2014-08-18, 2015-12-30,15,13,15,13,0,0,1,0,0,1,1,1, NA,0,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33954, PARVATIPUR, 2014-08-18, 2015-12-30,8,8,8,8,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,37169, RAGHVANAGAR, 2014-08-18, 2015-12-30,12,16,12,16,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33608, SAINAGAR, 2014-08-18, 2015-12-30,9,11,9,11,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,30928, THIRUMAGONDANAHALLI B, 2014-08-18, 2015-12-30,15,15,13,14,0,0,2,1,1,1,1,1,1,1,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33625, TIRUMAGONDANAHALLI A, 2014-08-18, 2015-12-30,10,16,8,14,0,0,2,1,1,1,1,0,1,1,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,36538, YADAVANA HALLI B, 2014-08-18, 2015-12-30,11,15,11,15, NA, NA,1,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33656, YADAVANAHALLI, 2014-08-18, 2015-12-30,17,13,15,10,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, ballur,33607, AREHALLY, 2014-08-18, 2015-12-30,10,11,7,8, NA, NA,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,30935, BALLURU A, 2014-08-18, 2015-12-30,6,10,3,7, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,30932, BALLURU B, 2014-08-18, 2015-12-30,6,7,6,7, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,31364, BHAKTHIPURA, 2014-08-18, 2015-12-30,11,10,9,9, NA, NA,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,33616, HALEAHALLI, 2014-08-18, 2015-12-30,4,6,4,6, NA, NA,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,33733, HAROHALLI, 2014-08-18, 2015-12-30,5,10,2,6, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,33953, M.MEDAHALLI, 2014-08-18, 2015-12-30,5,4,3,3, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, ballur,30923, MAYASANDRA A, 2014-08-18, 2015-12-30,9,5,7,4, NA, NA,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,30933, MAYASANDRA B, 2014-08-18, 2015-12-30,8,9,5,8, NA, NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,30936, MAYASANDRA C, 2014-08-18, 2015-12-30,9,9,2,9, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,36623, Mayasandra D, 2014-08-18, 2015-12-30,7,7,3,2, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, ballur,33950, MUTHSANDRA, 2014-08-18, 2015-12-30,6,3,5,3, NA, NA,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33651, ANDAPURA, 2014-08-18, 2015-12-30,28,37,4,10, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33655, BANAHALLI A, 2014-08-18, 2015-12-30,10,15,9,8, NA, NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, chandapura,36427, BANAHALLI B, 2014-08-18, 2015-12-30,11,11,8,6, NA, NA,3,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1
 bangalore, anekal taluk, chandapura,36410, BANAHALLI C, 2014-08-18, 2015-12-30,14,14,10,8, NA, NA,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
 bangalore, anekal taluk, chandapura,36544, BOMMASANDRA B, 2014-08-18, 2015-12-30,10,10,10,8, NA, NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,37215, BOMMASANDRA C, 2014-08-18, 2015-12-30,10,14,8,6, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
 bangalore, anekal taluk, chandapura,37230, BOMMASANDRA INDUSTRIAL, 2014-08-18, 2015-12-30,9,13,7,10, NA, NA,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33654, BOMMASANDRA VILLAGE A, 2014-08-18, 2015-12-30,18,6,8,5, NA,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
 bangalore, anekal taluk, chandapura,33605, CHANDAPURA CHATRAKHANE, 2014-08-18, 2015-12-30,4,10,3,9, NA, NA,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0
 bangalore, anekal taluk, chandapura,33599, CHANDAPURA DINNE, 2014-08-18, 2015-12-30,12,13,10,15, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,36529, GURAPPAREDDY LAYOUT, 2014-08-18, 2015-12-30,16,17,12,9, NA, NA,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33626, HALECHANDAPURA, 2014-08-18, 2015-12-30,11,14,11,10, NA, NA,2,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33649, HEBBAGODI BANGLAPET, 2014-08-18, 2015-12-30,16,11,3,11, NA, NA,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33653, HEELALAGE, 2014-08-18, 2015-12-30,13,13,16,9, NA, NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33663, IGGALURU, 2014-08-18, 2015-12-30,15,9,14,8, NA, NA,2,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,37216, INFOSYS COLONY, 2014-08-18, 2015-12-30,32,19,6,9, NA,1,3,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,37214, K E B COLONY, 2014-08-18, 2015-12-30,17,5,17,5, NA, NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, chandapura,36537, KITTAGANA HALLI DINNE, 2014-08-18, 2015-12-30,11,6,10,5, NA, NA,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33610, KITTAGANAHALLI A, 2014-08-18, 2015-12-30,18,12,18,12, NA, NA,2,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33611, KITTAGANAHALLI B, 2014-08-18, 2015-12-30,12,10,10,9, NA, NA,2,1,0,1,1,1, NA,1, NA,2,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33618, LAKSHMISAGARA, 2014-08-18, 2015-12-30,7,15,6,14, NA, NA,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,37914, MUNIREDDY LAYOUT, 2014-08-18, 2015-12-30,12,9,10,4, NA, NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, chandapura,36535, RAMA SAGARA B, 2014-08-18, 2015-12-30,19,12,9,6, NA, NA,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,33648, RAMASAGARA, 2014-08-18, 2015-12-30,7,14,4,12, NA, NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,36507, S N LAYOUT, 2014-08-18, 2015-12-30,11,11,2,4, NA, NA,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0
 bangalore, anekal taluk, chandapura,37231, VIDYANAGARA (BANGLA PETE B), 2014-08-18, 2015-12-30,12,10,6,8, NA, NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, chandapura,36519, YALLAMMANAGARA, 2014-08-18, 2015-12-30,9,12,9,12, NA, NA,1,0,0,1,1,1,1,1,1,2,0,1,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, dommasanddra,30389, ALI BOMASANDRA, 2014-08-18, 2015-12-30,13,5,10,5,0,0,2,1,1,1,0,1,1,1,0,2,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33760, B HOSAHALLI, 2014-08-18, 2015-12-30,13,15,10,11,0,0,2,1,1,1,1,1,1,1,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33447, CHEMBENAHALLI, 2014-08-18, 2015-12-30,6,13,6,10,0,0,2,0,0,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31343, CHIKKATHIMMASANDRA, 2014-08-18, 2015-12-30,6,5,5,5,0,0,2,1,0,1,1,0,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33716, DOMMASANDRA . A, 2014-08-18, 2015-12-30,13,6,10,6,0,0,2,1,1,0,1,0,1,0,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33450, DOMMASANDRA 'C', 2014-08-18, 2015-12-30,12,10,10,9,0,0,1,1,0,1,1,0,1,0,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36435, DOMMASANDRA BANK CALONY, 2014-08-18, 2015-12-30,11,7,11,7,0,0,1,0,0,1,1,1,1,0,1,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36406, DOMMASANDRA E, 2014-08-18, 2015-12-30,8,17,8,17,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31517, DOMMASANDRA JANATHACOLONY, 2014-08-18, 2015-12-30,11,9,11,9,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36404, DOMMASANDRA VINAYAKA NAGARA, 2014-08-18, 2015-12-30,5,10,5,10, NA, NA,1,0,0,1,1,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36560, DOOMASANDRA AD COLONY, 2014-08-18, 2015-12-30,17,6,17,6,0,0,1,0,0,1,1,1,1,1,0,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36549, DOOMASANDRA DARGA COLONY, 2014-08-18, 2015-12-30,10,6,8,6,0,0,1,0,0,1,1,1,0,0,0,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31333, GOPASANDRA, 2014-08-18, 2015-12-30,7,6,6,6,0,0,2,1,0,0,1,0,1,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33448, HOUSING BOARD DOMMASANDDRA 'B', 2014-08-18, 2015-12-30,7,7,5,5,0,0,1,0,0,1,1,1,1,1,0,2,1,0,0,1,0,1,0,1,1,1
 bangalore, anekal taluk, dommasanddra,33451, ITTANGURU, 2014-08-18, 2015-12-30,7,8,7,8,0,0,3,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33756, KADA AGRA HARA, 2014-08-18, 2015-12-30,6,7,6,7,1,0,2,1,1,1,1,0,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31338, KOMMASANDRA, 2014-08-18, 2015-12-30,5,6,5,6,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33718, MUTHANALLUR, 2014-08-18, 2015-12-30,2,10,2,8, NA, NA,2,1,1,1,1,0,1,0,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33729, MUTHANALLUR JANATHA COLONY, 2014-08-18, 2015-12-30,6,6,6,6,0,0,2,1,1,1,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31347, NARAYANAGHATTA, 2014-08-18, 2015-12-30,6,7,6,7,0,0,2,1,1,1,1,0,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,31334, SAMANAHALLI 1, 2014-08-18, 2015-12-30,6,7,6,7,0,0,2,1,1,1,1,1,0,0,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33461, SINGENAHAGRAHARA, 2014-08-18, 2015-12-30,9,8,9,8,0,0,2,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33717, SOMPURA, 2014-08-18, 2015-12-30,8,6,7,5,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33457, T C HALLI, 2014-08-18, 2015-12-30,8,11,8,11,0,0,1,0,0,1,1,1,1,1,1,2,1,0,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,33456, V.KALLAHALLI, 2014-08-18, 2015-12-30,6,4,6,4,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, dommasanddra,36347, YAMRE 1, 2014-08-18, 2015-12-30,8,9,6,7,0,0,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,30784, ADURU, 2014-08-18, 2015-12-30,2,7,2,6, NA, NA,2,0,0,0,1,0,1,1,0,2,1,1,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33592, BYADRAHALLI, 2014-08-18, 2015-12-30,6,12,6,8, NA, NA,2,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,0,0,0,0
 bangalore, anekal taluk, haragadde,30788, CHINNAYANAPALYA, 2014-08-18, 2015-12-30,4,5,1,6,1, NA,2,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33584, DYAVASANDRA, 2014-08-18, 2015-12-30,9,6,8,4, NA, NA,2,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, haragadde,29566, GOWRENAHALLI A, 2014-08-18, 2015-12-30,23,30,13,17, NA, NA,2,0,0,1,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33580, GOWRENAHALLI B, 2014-08-18, 2015-12-30,18,40,8,12, NA, NA,3,0,0,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,36315, GOWRENAHALLI C, 2014-08-18, 2015-12-30,12,12,12,12, NA, NA,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,31382, HARAGADDE A, 2014-08-18, 2015-12-30,24,21,12,6, NA, NA,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, haragadde,36518, HARAGADDE B, 2014-08-18, 2015-12-30,5,22,3,17, NA, NA,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,36495, HARAGADDE C, 2014-08-18, 2015-12-30,15,17,8,10, NA, NA,1,0,0,1,1,1,1,1,1,0,1, NA,0,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33664, HARAGADDE VADDARAPALYA, 2014-08-18, 2015-12-30,17,15,12,9, NA, NA,2,0,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, haragadde,36313, HARAGADDE VADDARAPALYA B, 2014-08-18, 2015-12-30,9,6,7,3, NA, NA,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1
 bangalore, anekal taluk, haragadde,31375, HONNAKALASAPURA, 2014-08-18, 2015-12-30,5,5,3,3, NA, NA,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,31387, KUMBARANAHALLI, 2014-08-18, 2015-12-30,7,7,2,4, NA, NA,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,31379, LINGAPURA, 2014-08-18, 2015-12-30,10,3,4,2, NA, NA,2,0,0,1,1,1,1,0,1,2,0,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,36496, MADA PATTANA B, 2014-08-18, 2015-12-30,17,16,14,11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, haragadde,31376, MADAPATTANA A, 2014-08-18, 2015-12-30,6,21,6,14, NA, NA,2,0,0,1,1,1,0,1,1,2,1,0,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, haragadde,36312, MADAPATTANA C, 2014-08-18, 2015-12-30,8,20,3,15, NA, NA,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33588, MEDHAHALLI A, 2014-08-18, 2015-12-30,14,12,10,5,0,0,2,0,0,0,1,0,1,1,0,2,1,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,31367, N GOLLAHALLI, 2014-08-18, 2015-12-30,7,9,6,4, NA, NA,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,35477, NAYANAHALLI 1, 2014-08-18, 2015-12-30,10,9,5,7, NA, NA,2,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,31466, NOSENURU, 2014-08-18, 2015-12-30,15,15,8,5, NA, NA,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,33575, SEETHANAYAKANAHALLI, 2014-08-18, 2015-12-30,6,9,2,8, NA, NA,2,0,0,1,1,1,0,0,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, haragadde,30786, SIDDANAPALYA, 2014-08-18, 2015-12-30,7,5,7,5, NA, NA,2,1,1,1,1,1,1,1,0,2,1,0,0,1,0,0,0,0,1,1
 bangalore, anekal taluk, haragadde,29564, SIDIHOSAKOTE A, 2014-08-18, 2015-12-30,8,6,5,7, NA, NA,2,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,1,0,1,1
 bangalore, anekal taluk, haragadde,36515, SIDIHOSAKOTE B, 2014-08-18, 2015-12-30,8,6,8,3, NA, NA,3,1,0,1,1,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,30790, SONNANAYAKNAPURA, 2014-08-18, 2015-12-30,2,4,2,4, NA, NA,2,1,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, haragadde,29581, SURAGAJAKKANAHALLI, 2014-08-18, 2015-12-30,16,13,12,8,1,0,3,1,0,1,1,1,0,0,0,2,1,0,1,1,1,0,0,0,1,1
 bangalore, anekal taluk, hebbagodi,36561, CHANDRIKA THIRUPALYA C, 2014-08-18, 2015-12-30,8,16,8,16, NA, NA,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, hebbagodi,33647, CHIKKA NAGAMANGALA, 2014-08-18, 2015-12-30,3,5,3,5, NA, NA,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
 bangalore, anekal taluk, hebbagodi,33685, GHATTAHALLI, 2014-08-18, 2015-12-30,5,16,5,16,0,0,2,1,0,1,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,1
 bangalore, anekal taluk, hebbagodi,31357, GOOLIMANGALA, 2014-08-18, 2015-12-30,6,6, NA, NA, NA, NA,3,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0
 bangalore, anekal taluk, hebbagodi,33637, HEBBAGODI A, 2014-08-18, 2015-12-30,14,14,14,14, NA, NA,2,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, hebbagodi,33702, HEBBAGODI B, 2014-08-18, 2015-12-30,9,9,9,9, NA, NA,2,1,0,1,1,0,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, hebbagodi,33638, HEBBAGODI C, 2014-08-18, 2015-12-30,8,13,8,13,0,0,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, hebbagodi,36309, HEBBAGODI E, 2014-08-18, 2015-12-30,15,10,15,10, NA, NA,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
