do_31223711448509644815498|[{'ans1': '50'}]
do_31223657234230476815460|[{'60': 'true'}]
do_31223656094899404821639|[{'86': 'true'}]
do_31223658106146816021645|[{'177': 'true'}]
do_31223656226110668815458|[{'60': 'true'}]
do_31223713323690393621696|[{'ans1': '13'}]
do_31223715992564531215515|[{'ans1': '12'}]
do_31223726337445888021749|[{'ans1': '3243'}]
do_31223715366657228821708|[{'ans1': '11'}]
