1801,695
1803,695
1804,4783
1805,695
1806,4783
1807,4783
1808,4783
1809,4783
1810,695
1811,695
1812,4783
1813,4783
1814,4783
1815,4783
1817,2764
1818,2764
1819,2764
1820,2764
1821,5534
1822,5534
1823,5534
1824,2764
1825,2764
1826,5534
1827,5534
1828,2764
1829,2427
1830,2420
1831,2427
1832,2427
1833,2420
1834,3038
1835,3038
1836,3479
1837,3479
1838,3479
1839,2427
1840,2427
1841,3038
1842,510
1843,510
1844,2327
1845,2853
1846,2327
1847,2327
1848,2327
1849,2853
1850,510
1851,2853
1852,3546
1853,3546
1854,2853
1855,2853
1856,2853
1857,4210
1858,4584
1859,4210
1861,5801
1862,5801
1863,5801
1864,5801
1865,5801
1866,5801
1867,5801
1868,5801
1869,5801
1870,5801
1871,4210
1872,4584
1875,4210
1876,4210
1877,633
1878,4778
1879,4778
1880,633
1881,3221
1882,3221
1883,3590
1884,633
1885,3221
1886,3221
1887,3221
1888,3590
1889,3590
1890,3590
1891,3590
1892,4778
1894,3590
1895,633
1896,4778
1897,4778
1898,3483
1899,3483
1900,3631
1901,2534
1902,2534
1903,2534
1906,3631
1908,3483
1909,3631
1910,2534
1911,2534
1912,3483
1913,2534
1914,3483
1915,3631
1916,3483
1917,4597
1918,4597
1919,5801
1920,5801
1921,5801
1923,5801
1924,5801
1925,5801
1926,5801
1927,5801
1928,5801
1929,5801
1930,5801
1931,5801
1932,4597
1933,4597
1934,4597
1935,4597
1936,2805
1937,1201
1939,1670
1940,1670
1941,1670
1942,1670
1943,1201
1944,2805
1945,2805
1946,2805
1947,2805
1948,2805
1949,3025
1950,3025
1951,3025
1952,3025
1953,1670
1955,2805
1956,4973
1957,4973
1958,4246
1959,4246
1960,4240
1961,4246
1962,4721
1964,4721
1965,4721
1966,4246
1967,4721
1968,4973
1969,4973
1970,4246
1971,3802
1972,3802
1973,4965
1974,3531
1975,2420
1976,3531
1977,4965
1980,3802
1981,3531
1983,4965
1984,3531
1986,3802
1987,3802
1988,5801
1989,2313
1990,4011
1991,2313
1992,4240
1993,2313
1994,2313
1995,4011
1996,4011
1997,4011
1998,4655
1999,2313
2000,4011
2001,5801
2002,5801
2003,5801
2005,5801
2006,5801
2008,5801
2012,5801
2013,5801
2015,5801
2016,5801
2017,4785
2018,1994
2019,1994
2020,1994
2021,4785
2022,4785
2023,1994
2024,4785
2025,3215
2026,2853
2027,3215
2028,3215
2029,1994
2030,3215
2031,1994
2032,4785
2033,4785
2034,1994
2035,3215
2036,4785
2050,4785
2051,4785
2052,4785
2061,5801
2063,5801
2066,1350
2067,1216
2069,1216
2070,1254
2071,1254
2072,1260
2073,1350
2074,1260
2075,2363
2076,1350
2077,1350
2078,1254
2079,2363
2080,2363
2081,1216
2082,5776
2083,6040
2084,4571
2085,6040
2086,6040
2088,2012
2091,2012
2093,5336
2094,3166
2096,3166
2097,4571
2098,4571
2099,4571
2100,3166
2101,3166
2103,5411
2104,3166
2105,3166
2106,4571
2107,6040
2108,3166
2109,3586
2110,1607
2111,5823
2112,1780
2113,1607
2114,5823
2115,5823
2116,1607
2117,3230
2118,3230
2123,1607
2125,3586
2126,1780
2127,5823
2128,3586
2129,2630
2130,5085
2131,2630
2133,2630
2134,1254
2135,2805
2136,2805
2137,2630
2138,5085
2139,5085
2140,5085
2141,5085
2142,2805
2143,5085
2145,1253
2146,1216
2147,1253
2148,4785
2149,4785
2150,4526
2151,5336
2152,5336
2153,5367
2154,5367
2156,5367
2157,5367
2158,4780
2159,1229
2160,1229
2162,4526
2163,4526
2164,1229
2165,1229
2166,3188
2167,3188
2168,3188
2169,1260
2170,1260
2171,3188
2172,1253
2173,3188
2174,4526
2175,4526
2176,5801
2177,5801
2179,5801
2180,5801
2181,5801
2182,5801
2183,5801
2186,2363
2187,1350
2188,5565
2189,5823
2191,3230
2192,3230
2193,3230
2194,3230
2195,5801
2196,4571
2197,5367
2199,1597
2200,1597
2201,4774
2202,5565
2204,5565
2205,4774
2206,4774
2207,5565
2208,5565
2209,2805
2210,4774
2211,4774
2212,2805
2213,4774
2214,4774
2215,4774
2216,5565
2217,1586
2218,759
2219,759
2220,759
2221,759
2222,1410
2224,3042
2226,3483
2227,3483
2228,3483
2229,1586
2230,3890
2232,3890
2233,3483
2234,3483
2236,3483
2237,3483
2238,1586
2239,678
2240,678
2242,678
2243,759
2244,1410
2245,2592
2248,3042
2249,1410
2251,3042
2252,5543
2253,5543
2255,5543
2257,5543
2259,678
2260,2592
2261,2592
2262,5801
2263,5801
2264,5801
2265,5801
2266,5801
2268,3783
2269,3783
2270,3783
2271,4654
2272,3783
2273,3359
2274,4654
2276,4654
2277,5474
2278,5474
2279,5474
2280,3783
2281,901
2283,5653
2284,5653
2286,678
2287,901
2288,2938
2289,2938
2290,2938
2291,5400
2292,5400
2294,5400
2295,5653
2297,5653
2298,5653
2299,5400
2300,5400
2301,2938
2302,1474
2303,6040
2304,901
2305,3713
2306,2026
2307,2026
2308,2026
2309,2026
2310,2026
2312,901
2313,3713
2314,3713
2315,3713
2316,3713
2317,3713
2318,3713
2319,6040
2320,6040
2321,6040
2322,2760
2324,3359
2327,2101
2328,2101
2329,2568
2330,3359
2331,2568
2332,2760
2333,2760
2335,3359
2337,3359
2338,3783
2339,3783
2340,3783
2341,2568
2342,2760
2343,2760
2344,2568
2345,899
2346,899
2347,3783
2349,2760
2351,4528
2353,4528
2360,4528
2361,4528
2374,1823
2375,4332
2378,4332
2379,1823
2380,1823
2382,4332
2383,1823
2384,4332
2385,4332
2386,4332
2387,4332
2388,4332
2389,4332
2390,1823
2391,1145
2392,1145
2393,1145
2396,5801
2402,1145
2404,1145
2406,1145
2408,1145
2409,643
2410,1358
2413,1358
2414,1358
2415,1358
2417,643
2420,643
2421,3421
2424,3421
2425,3421
2427,3421
2428,3421
2429,3421
2432,1411
2433,1411
2434,3421
2438,4708
2444,4708
2454,2674
2456,2678
2457,2678
2461,2155
2462,2155
2463,2678
2465,2678
2466,2155
2474,2618
2476,4680
2483,4680
2489,1558
2490,1558
2494,2215
2515,5525
2519,660
2525,2659
2532,1665
2534,2659
2535,660
2536,955
2539,2648
2553,5801
2557,5801
2563,5801
2564,5801
2565,5801
2569,5801
2576,955
2579,3421
2581,2678
2582,4332
2585,4526
2587,2348
2588,2348
2590,2384
2591,2384
2592,2384
2594,2384
2595,815
2596,5801
2597,5801
2598,5801
2599,5801
2600,5801
2601,2119
2602,2119
2603,2119
2604,2119
2605,5252
2606,5252
2607,5252
2609,5252
2612,5801
2613,5801
2614,5801
2615,5801
2616,5801
2617,5801
2618,5801
2619,5801
2620,5801
2621,2119
2622,5801
2623,5801
2624,5801
2625,5801
2626,5801
2627,5801
2628,5801
2629,1630
2630,1630
2631,1630
2634,1630
2635,1630
2637,1630
2638,1630
2639,5801
2640,5801
2641,5801
2642,5801
2643,3002
2644,3002
2645,3002
2646,3002
2647,3002
2650,5801
2651,815
2652,815
2653,815
2654,815
2655,815
2656,5801
2657,5801
2658,5801
2660,5801
2661,5801
2662,5801
2664,5801
2665,5801
2666,5801
2668,2608
2669,2608
2670,2608
2671,2608
2673,2608
2674,3865
2675,3865
2676,3865
2677,3865
2678,3865
2679,3865
2681,4604
2683,2608
2684,2608
2685,2878
2687,2878
2688,4759
2689,2878
2691,3752
2692,3379
2693,3170
2694,4081
2695,3379
2696,4081
2698,4081
2699,4081
2700,4129
2701,4604
2702,4759
2704,4129
2705,4129
2706,3002
2707,3002
2708,594
2709,594
2710,1322
2711,1322
2712,1322
2713,1322
2714,1322
2715,1322
2716,1322
2717,1322
2718,1322
2719,1606
2720,2675
2721,2675
2722,2675
2723,2675
2725,1322
2726,1606
2727,3873
2728,3873
2730,3873
2731,2675
2732,3873
2733,5790
2734,5790
2735,5790
2736,5790
2737,3394
2738,2097
2739,2097
2740,2097
2741,2097
2742,2097
2743,2097
2744,3394
2745,5790
2746,5790
2747,5790
2748,2097
2749,5790
2750,5790
2752,5790
2753,3394
2754,2097
2755,2097
2756,2097
2757,5790
2758,5790
2759,5790
2760,5790
2761,5790
2763,3033
2766,5389
2767,3394
2768,3394
2769,3394
2770,5272
2771,5272
2772,5272
2773,5272
2774,5272
2775,5272
2776,5272
2777,5272
2778,3033
2779,3033
2780,3394
2782,5272
2783,5272
2784,5272
2785,5272
2786,5389
2787,5389
2788,3033
2789,3033
2790,5389
2791,5832
2792,5832
2793,5832
2794,5832
2795,5832
2796,5832
2797,5832
2799,5801
2800,5801
2801,5801
2802,5801
2803,5801
2804,5801
2805,5801
2807,5801
2808,5801
2809,5801
2811,5801
2812,5801
2813,5801
2815,5801
2816,5801
2817,5801
2818,5801
2819,5801
2820,5801
2821,5801
2822,5801
2823,4017
2824,3882
2826,4017
2827,2859
2828,2859
2829,2859
2830,2859
2833,2859
2834,3882
2835,3752
2836,3752
2837,3752
2838,3752
2839,3752
2840,3882
2841,4017
2842,4017
2843,3752
2844,3752
2845,5400
2847,4432
2848,1719
2849,1719
2852,1719
2853,4000
2855,4024
2856,4024
2857,4024
2858,4024
2860,4024
2861,4024
2864,1719
2866,4024
2871,4277
2872,4277
2873,5801
2874,5801
2875,5801
2877,5801
2879,5801
2880,5801
2881,5801
2882,5801
2883,5801
2885,5801
2887,5487
2888,4277
2889,4277
2890,2314
2891,1636
2892,1636
2893,4277
2894,5487
2895,1719
2896,4277
2897,4277
2899,4418
2901,5801
2906,5801
2907,5362
2908,5487
2909,2314
2910,4049
2911,1059
2912,1059
2913,1059
2914,1059
2915,1059
2916,1059
2917,4049
2918,4049
2919,2314
2920,2314
2921,2953
2922,4049
2923,4049
2925,5949
2926,5949
2927,5949
2928,1059
2929,5949
2930,5949
2932,2953
2933,1147
2934,3860
2935,3860
2937,3860
2939,4155
2940,4155
2941,4155
2942,4155
2943,3860
2944,5362
2946,4525
2947,4525
2948,4525
2949,4525
2950,4525
2951,4525
2954,5362
2955,5362
2956,5362
2958,5362
2959,5362
2960,5362
2961,5362
2962,5362
2963,4155
2964,4155
2965,5362
2966,5362
2967,3860
2968,4525
2969,5487
2970,3570
2971,3570
2972,3570
2975,3570
2976,3570
2977,3570
2978,4054
2979,4054
2981,5801
2982,5801
2985,5154
2987,5801
2988,5801
2989,5801
2991,5801
2993,4054
2994,5154
2995,5154
2996,4054
2997,4654
2998,1147
2999,1147
3000,1147
3001,1147
3003,1147
3004,1147
3006,1147
3007,1147
3008,1147
3010,1147
3011,1834
3012,1834
3013,1834
3014,1834
3015,4054
3020,5801
3022,5801
3024,5801
3025,4054
3026,4654
3027,4654
3028,4654
3029,4654
3030,4703
3031,1834
3032,4054
3033,4054
3039,1272
3040,1636
3041,2529
3042,2529
3044,1636
3046,3474
3047,3474
3050,3474
3051,3474
3052,2529
3053,2529
3055,1636
3056,2221
3057,4432
3058,5926
3059,4432
3060,4432
3061,4432
3062,5971
3064,4432
3065,5926
3066,2221
3067,5926
3068,5926
3069,5926
3070,5971
3071,5971
3072,5971
3073,5971
3074,2221
3075,6637
3076,6606
3077,6595
3078,1986
3079,1986
3080,1986
3081,1986
3082,1986
3083,1986
3084,1986
3085,6281
3086,4805
3087,4805
3088,4805
3089,4805
3090,1986
3091,4805
3093,3688
3094,3688
3095,3688
3096,3688
3097,6606
3098,6606
3099,6610
3100,6610
3101,6581
3102,6606
3103,6605
3104,6411
3107,6411
3109,5396
3110,5396
3111,6411
3113,6411
3114,6411
3117,5396
3118,5396
3119,1983
3120,1983
3121,1983
3122,1983
3123,1983
3124,3948
3125,3948
3126,3948
3127,3948
3128,3948
3129,3948
3130,3948
3131,3948
3132,6596
3133,6591
3134,6594
3135,6602
3136,6599
3137,6599
3138,6605
3139,6605
3141,6602
3144,6591
3146,907
3147,6267
3148,6267
3149,6267
3150,6267
3152,6267
3153,3713
3154,3713
3155,5460
3157,5460
3158,5460
3159,5460
3160,6637
3161,6637
3163,6637
3164,6602
3165,1148
3166,1148
3167,1148
3168,1148
3169,1148
3170,6601
3171,907
3172,6602
3173,6602
3175,6601
